Customer,Part_Number,Type,Status,Reason,Percent,Standard_Time,Cert,Line_Side_Sort,List_Date,Close_Date
Toyota,904720,Internal,Open,"3.10.25-Use component 305010 as gage to verify bolt perpendicularity.
Inspection per Op Standard - check rivet area is not leaking",100,NULL,,0,"2023-08-18 00:00:00",NULL
Toyota,806785,Internal,Open,"REVIEW SORT OP INSTRUCTIONS 9/23/24    --100% SORT--
Person 1: Lightbox, Gauge and BLUE Paint Dot",100,NULL,,0,"2024-09-23 00:00:00",NULL
Toyota,806795,Internal,Open,"Rubber in ID & inside washer surface - 100% plug gauge with GA3206. 100% sort to op std.",100,NULL,,0,"2023-05-16 00:00:00",NULL
Toyota,807015,Internal,Open,"100% sort to op std.  
- Parts with rubber in the ID / underside of plate - reference rework sheet in file - only provided arbor brush can be used.  Metal must be touched up with top coat bond.",100,NULL,,0,"2021-09-29 00:00:00",NULL
Nissan,903610,Internal,Open,"Low runner, manual assembly, no sensors
Visual inspection for all inspection items on the operating standard",100,NULL,,0,"2021-10-05 00:00:00",NULL
Toyota,902280,Internal,Open,"service 
Sort part for Felt and color code and good crimp on damper (not loose).  Poke yoke removed from assembly due to service status. Must remain of sort remainder of service life.",100,NULL,,0,"2021-10-15 00:00:00",NULL
Toyota,902290,Internal,Open,"service 
Sort part for Felt and color code and good crimp on damper (not loose).  Poke yoke removed from assembly due to service status. Must remain of sort remainder of service life.",100,NULL,,0,"2021-10-15 00:00:00",NULL
YAT,806343,Customer,Open,"Customer complaint for nonfill 3.31.22 and 12/20/22. Parts were already sorted lineside. 100% sort for all visuals per the operating standard and rust in the ID. If rust is found, remove with scotch brite pad.",100,NULL,,0,"2021-10-19 00:00:00",NULL
Toyota,906920,Customer,Open,"CERT for rubber in ID 5.21.25 - plug gauge entire length of ID using GA3634.
Cured Flash - sort per OpStd
P4 Bracket with SLOTTED IT",100,NULL,YELLOW,0,"2024-04-25 00:00:00",NULL
Toyota,807040,Internal,Open,"Bond failure on the outer tube.  Reference QA Alert 3821.  MUST BE SORTED BY BNC AT LINE 1 table",100,NULL,,1,"2022-02-08 00:00:00",NULL
Nissan,906630,Launch,Open,"New part due to resource of 3 components. (previously 905530)
All visuals per the operating standard and bracket cracks",100,NULL,,0,"2022-05-11 00:00:00",NULL
Toyota,902040,Internal,Open,"service 
manually applying ID mark
visually inspect per op stnd",100,NULL,,0,"2022-05-24 00:00:00",NULL
Toyota,902050,Internal,Open,"service 
manually applying ID mark
visually inspect per op stnd",100,NULL,,0,"2022-05-24 00:00:00",NULL
Toyota,902060,Internal,Open,"service 
manually applying ID mark
visually inspect per op stnd",100,NULL,,0,"2022-05-24 00:00:00",NULL
Toyota,902010,Internal,Open,"service 
manually applying ID mark
visually inspect per op stnd",100,NULL,,0,"2022-05-24 00:00:00",NULL
Toyota,902020,Internal,Open,"service 
manually applying ID mark
visually inspect per op stnd",100,NULL,,0,"2022-05-24 00:00:00",NULL
Toyota,902030,Internal,Open,"Service 
manually applying ID mark
visually inspect per op stnd",100,NULL,,0,"2022-05-24 00:00:00",NULL
Nissan,904440,Internal,Open,"Visuals per the operating standard on 5pcs/layer - ANY PARTS FAIL INSPECT ROPACK MUST BE 100% SORTED, verify bracket alignment with GA3664. Gage 2 pcs per layer. If any parts fail the gage, the entire ropak must be gaged.",20,NULL,,0,"2022-06-06 00:00:00",NULL
Toyota,908770,Customer,Open,"Must Sort per 908770 sort instructions in controlled drive
Journal orientation - Make sure journal is correctly installed - tabs on snubbers line up
excessive glue - QA Alert 4311!
Glue rework, damaged curl, excess rubber on IT's",100,NULL,,0,"2023-12-05 00:00:00",NULL
Nissan,902100,Internal,Open,"Visual inspection per operating standard required due to equipment moved to expansion.",100,NULL,,0,"2022-10-28 00:00:00","2022-11-28 00:00:00"
Nissan,902680,Internal,Open,"100% visual inspection for all items listed on 902680 operating standard due to equipment move to expansion, including excess flash in ID of urethane. (complaint 3/6/23)",100,NULL,,0,"2022-11-11 00:00:00",NULL
HONDA,601190,Internal,Open,"Verify spring mounting hole is clear of rubber",100,NULL,,0,"2023-02-08 00:00:00",NULL
YAT,805843,Customer,Open,"Nonfill and all other visual items per the 805843 operating standard. Yellow rework sheet provided in complaint email.",100,NULL,,0,"2023-04-06 00:00:00",NULL
YAT,903310,Customer,Open,"SORT 4 PCS / TOTE - ANY DEFECTS FOUND RESULTS IN 100% SORT OF SKID
Bond failure on bottom bumper - Apply moderate pressure to bottom bumper to ensure full adhesion of rubber on bottom of OT",25,NULL,White,0,"2023-05-05 00:00:00",NULL
Toyota,806985,Launch,Open,"Sort per op standard with CC facing up
2AB emboss/Purple cc (visually inspect emboss)",100,NULL,,0,"2023-11-03 00:00:00",NULL
Toyota,807020,Internal,Open,"BOND FAILURE-
Review part for bond failure as what is stated in Quality Alert #4193.
MUST BE SORTED BY BNC AT LINE 1 table",100,NULL,no,0,"2023-12-11 00:00:00",NULL
"THK - Nissan",806513,Customer,Open,"Nonfills--inspect both sides carefully for nonfills and ALL OTHER VISUALS PER THE OPERATING STANDARD. No rubber or bond on the outside of the OT.",100,NULL,,0,"2024-06-14 00:00:00",NULL
Nissan,904450,Internal,Open,"SORT 5PC/TOTE - IF ANY DEFECTS ARE FOUND SKID MUST BE 100% SORTED Sort for all visuals per the 904450 operating standard.",100,NULL,,0,"2024-07-09 00:00:00",NULL
Toyota,802725,Internal,Open,"Visual inspect per OpStds & verify color code WHITE dot is present",100,NULL,,0,"2024-07-23 00:00:00",NULL
Toyota,803295,Internal,Open,"Visual inspect per OpStds & verify color code GRAY dot is present",100,NULL,,0,"2024-07-24 00:00:00",NULL
Nissan,903630,Internal,Open,"All visuals per the operating standard, bracket cracks.",100,NULL,,0,"2024-08-12 00:00:00",NULL
Subaru,901530,Internal,Open,"Verify per op std - Bolts must be present and seated.",100,NULL,,0,"2024-10-16 00:00:00",NULL
Subaru,804525,Internal,Open,"SERVICE PART - INSPECT PER OP STD",100,NULL,,0,"2025-01-16 00:00:00",NULL
Toyota,803715,Internal,Open,"Verify color code dot is present and part is swaged.
All other defects per op std.",100,NULL,,0,"2025-02-20 00:00:00",NULL
Subaru,901800,Internal,Open,"- Damaged and Wrong bolts -One part per tote must be checked with 0.05 mm feeler gauge. If NG is found, entire skid must be 100% gauged. Notify Eng.
- 100% inspect per op std. No molding defects and blisters over 3mm.
- Complete paint coverage
- Marconi date and time
- 2 Green paint dots 
- Bearing- dust cover facing out and bearing moves freely",100,NULL,,0,"2025-03-03 00:00:00",NULL
Subaru,901540,Internal,Open,"- Damaged and Wrong bolts -One part per tote must be checked with 0.05 mm feeler gauge. If NG is found, entire skid must be 100% gauged. Notify Eng.
- 100% inspect per op std. No molding defects and blisters over 3mm.
- Complete paint coverage
- Marconi date and time
- 2 Blue paint dots 
- Bearing- dust cover facing out and bearing moves freely",100,NULL,,0,"2025-03-03 00:00:00",NULL
Subaru,902780,Internal,Open,"- Damaged/Wrong bolts -One part per tote must be checked with 0.05 mm feeler gauge. If NG is found, entire skid must be 100% gauged. Notify Eng.
- 100% inspect per op std. No molding defects and blisters over 3mm.
- Complete paint coverage
- Marconi date and time
- 1 Light Blue and 1 Yellow paint dots
- Bearing- dust cover facing out and bearing moves freely",100,NULL,,0,"2025-03-03 00:00:00",NULL
"THK - Nissan",903300,Customer,Open,"Raised bushing above the OT.",100,NULL,white,0,"2025-04-04 00:00:00",NULL
Toyota,909310,Internal,Open,"ONLY MANUAL CELL PRODUCTION - VERIFY RIVET IS PRESENT",100,NULL,,0,"2025-04-11 00:00:00",NULL
Toyota,906000,Customer,Open,"Green paint marker dot on alum bracket after visual inspection for bolt presence & torqued to rib area of bolt into alum bracket.",100,NULL,yellow,0,"2025-04-24 00:00:00",NULL
Toyota,909870,Customer,Open,"missing bolt in aluminum bracket",100,NULL,,0,"2025-04-25 00:00:00",NULL
Toyota,906850,Customer,Open,"Visual inspection for red color code - 2 approx. 10 mm dots 180 degrees apart",100,NULL,Toyota,0,"2025-05-22 00:00:00",NULL
Subaru,905760,Customer,Open,"Verify no leaking glycol or excess moisture present",100,NULL,,0,"2025-06-06 00:00:00",NULL
Subaru,905770,Customer,Open,"Verify no leaking glycol or excess moisture present",100,NULL,,0,"2025-06-06 00:00:00",NULL
Dynamig,806875,Customer,Open,"BENCHMARK SORT ONLY as of 6.6.25",100,NULL,yellow,0,"2025-06-06 00:00:00",NULL
